feature_1,feature_2,feature_3,feature_4,feature_5,target
20,65,351,2,9,0
44,161,292,19,29,1
30,139,260,9,39,1
97,164,258,17,48,1
57,196,345,20,52,0
36,130,174,14,64,1
51,93,81,1,37,1
69,200,289,13,12,1
47,3,53,19,50,0
89,185,412,17,49,0
39,88,86,20,24,1
19,156,98,9,33,1
58,136,492,5,39,0
45,150,326,2,66,1
39,112,192,8,7,0
78,153,351,18,22,0
85,184,424,9,40,1
20,76,171,22,56,0
68,98,60,19,51,1
58,136,167,11,20,1
87,51,99,7,32,0
23,29,241,18,37,1
15,197,490,6,23,0
27,103,173,18,20,1
24,199,475,11,16,1
22,41,392,13,26,0
45,59,207,8,31,0
56,30,373,17,30,0
79,138,320,14,30,1
38,192,360,16,30,1
29,24,254,10,4,1
14,55,467,8,60,1
92,130,147,11,43,1
39,165,442,4,17,1
94,165,219,3,34,1
63,68,496,16,47,1
53,13,382,23,20,1
81,36,293,1,17,0
91,154,77,21,69,1
25,120,333,2,59,0
13,15,463,4,13,0
10,103,436,6,36,1
22,41,281,16,58,1
44,1,423,22,48,1
38,5,380,11,7,0
41,42,266,8,46,0
13,168,85,3,42,0
45,127,209,15,9,1
35,64,331,3,23,1
53,131,415,9,39,0
95,28,451,22,32,0
58,117,298,4,46,0
43,17,82,7,23,0
93,191,134,8,38,1
90,175,86,16,9,0
87,37,115,21,37,1
34,138,167,2,17,0
13,68,387,18,18,1
87,153,165,10,13,0
99,57,403,1,15,1
85,110,158,13,68,0
80,142,162,2,43,0
45,1,159,19,56,1
38,81,79,7,37,1
91,185,117,19,38,0
98,83,394,10,55,0
55,175,111,5,5,0
91,40,387,22,7,1
67,150,266,7,37,0
74,118,114,2,21,0
